Kernel,C,Degree,Score
linear,1,1,0.797752808988764
linear,1,1,0.797752808988764
linear,1,1,0.797752808988764
linear,0.5,1,0.797752808988764
linear,0.1,1,0.797752808988764
poly,1,1,0.7078651685393258
poly,1,1,0.7078651685393258
poly,1,2,0.6797752808988764
poly,1,3,0.6853932584269663
linear,1,1,0.797752808988764
