gini,best,,0.7808988764044944
gini,best,,0.7640449438202247
entropy,best,,0.7640449438202247
gini,best,,0.7640449438202247
entropy,best,,0.7696629213483146
gini,random,,0.7359550561797753
entropy,random,,0.7752808988764045
gini,best,,0.7752808988764045
entropy,best,,0.7528089887640449
gini,random,,0.7359550561797753
entropy,random,,0.6910112359550562
entropy,random,5,0.7415730337078652
entropy,random,9,0.7640449438202247
gini,best,,0.7808988764044944
entropy,best,,0.7696629213483146
gini,random,,0.7191011235955056
entropy,random,,0.6966292134831461
gini,best,1,0.7247191011235955
entropy,best,1,0.6741573033707865
gini,random,1,0.6685393258426966
entropy,random,1,0.7078651685393258
gini,best,2,0.7471910112359551
entropy,best,2,0.7584269662921348
gini,random,2,0.7471910112359551
entropy,random,2,0.702247191011236
gini,best,3,0.7921348314606742
entropy,best,3,0.7415730337078652
gini,random,3,0.7471910112359551
entropy,random,3,0.7640449438202247
gini,best,4,0.7865168539325843
entropy,best,4,0.7078651685393258
gini,random,4,0.7696629213483146
entropy,random,4,0.7471910112359551
gini,best,5,0.7752808988764045
entropy,best,5,0.7696629213483146
gini,random,5,0.7359550561797753
entropy,random,5,0.7865168539325843
gini,best,6,0.7415730337078652
entropy,best,6,0.7921348314606742
gini,random,6,0.7471910112359551
entropy,random,6,0.7191011235955056
gini,best,7,0.7584269662921348
entropy,best,7,0.7640449438202247
gini,random,7,0.7471910112359551
entropy,random,7,0.7640449438202247
gini,best,8,0.7247191011235955
entropy,best,8,0.7640449438202247
gini,random,8,0.7584269662921348
entropy,random,8,0.7415730337078652
gini,best,9,0.7921348314606742
entropy,best,9,0.7865168539325843
gini,random,9,0.797752808988764
entropy,random,9,0.7191011235955056
gini,best,10,0.7696629213483146
entropy,best,10,0.7865168539325843
gini,random,10,0.7247191011235955
entropy,random,10,0.7191011235955056
